BE,KE,Exp,Comp_1,Comp_2,Comp_3,BG,envelope
290.924,1027.992,0.0,0.0,0.0,0.6280000000000143,0.0,0.6280000000000143
290.824,1021.4259999999999,0.0,0.0,0.0010000000000047748,0.9470000000000027,0.0,0.9480000000000075
290.724,1030.137,0.0,0.0,0.0010000000000047748,1.4099999999999966,0.0,1.4099999999999966
290.624,1024.4959999999999,-1.0180000000000007,0.0,0.0009999999999763531,2.0609999999999786,0.0,2.0609999999999786
290.524,1024.598,6.760999999999996,0.0,0.0010000000000047748,2.9579999999999984,0.0,2.960000000000008
290.424,1024.7,5.097000000000008,0.0,0.0020000000000095497,4.180000000000007,0.0,4.182999999999993
290.324,1024.801,-2.125,0.0,0.004000000000019099,5.8089999999999975,0.0,5.813000000000017
290.224,1024.906,14.825000000000017,0.0,0.007000000000005002,7.924000000000007,0.0,7.930000000000007
290.124,1025.01,12.050999999999988,0.0,0.009999999999990905,10.61099999999999,0.0,10.62100000000001
290.024,1025.111,5.384999999999991,0.0,0.01500000000001478,13.967000000000013,0.0,13.982
289.924,1025.216,13.168000000000006,0.0,0.025000000000005684,18.022999999999996,0.0,18.046999999999997
289.824,1025.3249999999998,28.455000000000013,0.0,0.038000000000010914,22.789000000000016,0.0,22.826000000000022
289.724,1025.434,28.74199999999999,0.0,0.05699999999998795,28.238,0.0,28.294999999999987
289.624,1025.5459999999998,35.69800000000001,0.0,0.08699999999998909,34.230999999999995,0.0,34.31800000000001
289.524,1025.659,40.43299999999999,0.0,0.12999999999999545,40.55199999999999,0.0,40.68100000000001
289.424,1025.774,46.83699999999999,0.0,0.19299999999998363,46.90299999999999,0.0,47.095
289.324,1025.8939999999998,62.41300000000001,0.0,0.28299999999998704,52.88900000000001,0.0,53.173
289.224,1026.012,54.09800000000001,0.0,0.4140000000000157,58.09700000000001,0.0,58.510999999999996
289.124,1026.128,50.224999999999994,0.0,0.59699999999998,62.119,0.0,62.716999999999985
